"id","name","province","dirname","boundsSW","boundsNE"
"1","san_fernando_del_valle_de_catamarca","catamarca","catamarca/san_fernando_del_valle_de_catamarca","-28.50695159670338, -65.82761704166195","-28.420749891878216, -65.72610530142083"
"2","bahia_blanca","buenos_aires","buenos_aires/bahia_blanca","-38.791377568872704, -62.44158471390123","-38.62831764674542, -62.1481747094121"
