dirname,displayName
buenos_aires/mar_del_plata,"Mar Del Plata, Buenos Aires"
buenos_aires/general_rodriguez,"General Rodriguez ,Buenos Aires"
buenos_aires/san_fernando,"San Fernando, Buenos Aires"
buenos_aires/tres_de_febrero,"Tres de Febrero, Buenos Aires"
buenos_aires/quilmes,"Quilmes, Buenos Aires"
buenos_aires/presidente_peron,"Presidente Peron, Buenos Aires"
buenos_aires/san_isidro,"San Isidro, Buenos Aires"
buenos_aires/bahia_blanca/villab,"villab, Bahía Blanca,Buenos Aires"
buenos_aires/bahia_blanca/vspor,"Villa Espora, Bahía Blanca, Buenos Aires"
buenos_aires/bahia_blanca/gr,"Gral. Daniel Cerri, Blanca, Buenos Aires"
buenos_aires/ituzaingo,"Ituzaingo, Buenos Aires"
buenos_aires/ezeiza,"Ezeiza, Buenos Aires"
buenos_aires/la_plata,"La Plata, Buenos Aires"
buenos_aires/beriso,"Beriso, Buenos Aires"
buenos_aires/lanus,"Lanus, Buenos Aires"
buenos_aires/general_san_martin,"General San Martín, Buenos Aires"
buenos_aires/jose_c_paz,"Jose C. Paz, Buenos Aires"
buenos_aires/san_miguel,"San Miguel, Buenos Aires"
buenos_aires/vicente_lopez,"Vicente Lopez, Buenos Aires"
buenos_aires/canuelas,"Cañuelas, Buenos Aires"
buenos_aires/esteban_echeverria,"Esteban Echeverría, Buenos Aires"
